Statistic,Value
Word Counts Min,0
Word Counts Max,13303
Word Counts Median,133.0
Word Counts Mean,235.24233333333333
Word Counts Std Dev,561.9353957006288
Words Appearing in All Documents,
